"fuelcons","rpm","load","speed","temp"
"243.7041448810929","709.75","39.6078431372549","1.0","65.0"
"117.33903272052623","704.5","40.0","2.0","65.0"
"56.17845020239501","698.25","39.6078431372549","4.0","65.0"
"44.59436667228876","696.0","38.431372549019606","5.0","65.0"
"70.43767920391298","690.0","38.8235294117647","5.0","65.0"
"108.87691853600944","1125.0","56.470588235294116","5.0","65.0"
"90.3078542514999","1188.0","64.70588235294117","7.0","66.0"
"76.08611626468769","1339.75","61.1764705882353","9.0","66.0"
"28.34178808204782","1415.5","36.86274509803921","13.0","66.0"
"28.672386497799728","1072.75","41.568627450980394","11.0","66.0"
"31.766528925619834","897.25","43.92156862745098","9.0","66.0"
"88.54166666666667","836.0","56.86274509803921","6.0","66.0"
"191.44248608534323","1460.25","98.82352941176471","7.0","67.0"
"89.4598766563758","2403.75","100.0","23.0","67.0"
"12.596438368735928","2151.5","38.8235294117647","34.0","69.0"
"13.562272606799509","1126.0","41.568627450980394","35.0","69.0"
"12.682441630725492","1132.25","45.09803921568628","28.0","71.0"
"12.743713556851315","1061.0","43.529411764705884","28.0","71.0"
"11.79544361362543","1022.0","43.529411764705884","27.0","72.0"
"11.306874943238583","949.75","43.92156862745098","26.0","72.0"
"11.63963877032059","935.5","44.31372549019608","26.0","72.0"
"10.399203069657611","901.75","39.6078431372549","25.0","72.0"
"11.315970872718475","834.25","41.568627450980394","23.0","72.0"
"12.363752319109464","957.0","34.90196078431372","22.0","73.0"
"12.813343312531625","976.5","35.294117647058826","20.0","73.0"
"13.89801244551757","958.5","35.68627450980392","19.0","74.0"
"12.871350330765916","934.75","34.90196078431372","18.0","74.0"
"13.300774855396705","887.75","38.431372549019606","17.0","74.0"
"17.226673727342178","876.5","34.11764705882353","17.0","75.0"
"12.431985011036394","1040.75","34.509803921568626","23.0","75.0"
"11.157657277787148","1044.25","33.333333333333336","25.0","75.0"
"10.933195592286504","1060.25","34.11764705882353","27.0","75.0"
"9.457822741521802","1062.75","34.509803921568626","29.0","76.0"
"8.99760063982938","1068.25","34.11764705882353","31.0","76.0"
"8.408787068546427","1065.5","32.94117647058823","34.0","76.0"
"6.65977322559377","1138.25","32.549019607843135","44.0","77.0"
"6.629227104064768","1137.25","31.764705882352942","46.0","77.0"
"6.2060884529431615","1160.5","32.15686274509804","48.0","77.0"
"6.4522193174790585","1151.0","30.980392156862745","48.0","78.0"
"6.402586861190756","1142.5","31.764705882352942","48.0","78.0"
"6.480161521264037","1148.75","31.764705882352942","47.0","78.0"
"6.478591524529629","1118.0","32.15686274509804","47.0","78.0"
"6.131229747042127","1138.25","32.15686274509804","47.0","78.0"
"6.73200581885647","1127.0","31.764705882352942","46.0","78.0"
"10.005376117389106","1294.0","40.3921568627451","45.0","78.0"
"8.106634527089074","1385.75","36.86274509803921","45.0","79.0"
"6.406012818350482","1308.75","30.19607843137255","45.0","79.0"
"9.307007927137798","1210.0","42.745098039215684","45.0","79.0"
"10.214623039298365","1418.75","43.92156862745098","45.0","79.0"
"7.749456531924065","1430.25","36.470588235294116","45.0","79.0"
"11.250023425348102","1306.0","48.627450980392155","45.0","80.0"
"10.068189151334266","1462.0","43.529411764705884","46.0","80.0"
"8.06366047137504","1407.5","42.35294117647059","46.0","80.0"
"8.270420996282093","1119.0","44.31372549019608","46.0","80.0"
"7.719747079572039","1096.5","43.92156862745098","46.0","80.0"
"8.151983758159497","1073.75","45.09803921568628","47.0","80.0"
"8.615917793176706","1078.5","44.31372549019608","47.0","81.0"
"8.151983758159497","1078.5","44.31372549019608","47.0","81.0"
"8.68219408389345","1084.0","45.09803921568628","47.0","81.0"
"8.615917793176706","1077.5","43.92156862745098","47.0","81.0"
"8.13034023174946","1091.5","44.31372549019608","47.0","81.0"
"8.536247772554942","1094.5","45.490196078431374","46.0","82.0"
"9.097463095910303","1099.25","43.13725490196079","46.0","82.0"
"9.239772085621889","1135.25","45.88235294117647","46.0","82.0"
"9.326394948924595","1152.0","45.490196078431374","46.0","82.0"
"9.928343642523485","1151.0","45.490196078431374","46.0","82.0"
"10.106222240962502","1161.75","49.01960784313726","45.0","82.0"
"11.869038248908383","1210.0","50.98039215686274","45.0","82.0"
"12.842947096193848","1257.5","54.11764705882353","45.0","83.0"
"13.310634171023786","1304.75","56.86274509803921","45.0","83.0"
"14.328114165776507","1332.5","56.86274509803921","45.0","83.0"
"13.556600326080849","1335.5","58.431372549019606","45.0","83.0"
"14.183462641254849","1336.75","56.470588235294116","45.0","83.0"
"12.651120230700975","1325.5","56.86274509803921","46.0","83.0"
"13.930820261989096","1318.5","55.68627450980392","45.0","83.0"
"13.463718820861681","1336.75","58.03921568627451","45.0","83.0"
"14.421405614587437","1339.75","58.03921568627451","45.0","83.0"
"14.648514364423457","1331.25","58.03921568627451","45.0","84.0"
"15.318303629991945","1396.5","63.529411764705884","45.0","84.0"
"16.64136729071794","1430.25","62.745098039215684","45.0","84.0"
"9.39795684113866","1290.0","43.529411764705884","45.0","84.0"
"8.967223252937536","1082.25","43.92156862745098","45.0","84.0"
"8.00701823429096","1062.75","41.1764705882353","45.0","84.0"
"7.040341963231573","1025.25","36.470588235294116","46.0","84.0"
"6.739659552936702","1019.5","36.470588235294116","47.0","84.0"
"6.739659552936702","1021.25","36.07843137254902","47.0","85.0"
"6.149922520661159","1023.75","36.07843137254902","48.0","85.0"
"6.25451303972002","1022.0","36.07843137254902","48.0","85.0"
"6.024413897790522","1028.75","34.90196078431372","49.0","85.0"
"5.976601089077898","1030.5","34.509803921568626","49.0","85.0"
"5.85706906729634","1020.25","34.509803921568626","50.0","85.0"
"9.36519649181987","1038.0","41.1764705882353","50.0","85.0"
"12.387186279470468","1284.5","55.68627450980392","51.0","86.0"
"11.961706170071336","1390.25","55.294117647058826","51.0","86.0"
"12.39932956653736","1396.5","55.294117647058826","52.0","86.0"
"7.767090863681773","1402.75","53.72549019607843","52.0","86.0"
"8.155399795010185","1213.5","41.568627450980394","52.0","86.0"
"9.310291980746527","1139.25","51.372549019607845","52.0","86.0"
"11.492971314399888","1263.75","53.333333333333336","52.0","86.0"
"11.492971314399888","1355.75","51.76470588235294","52.0","86.0"
"6.91745004566617","1226.5","37.64705882352941","53.0","87.0"
"5.942211197893016","1082.25","33.333333333333336","52.0","87.0"
"5.818856468207119","1086.0","33.72549019607843","52.0","87.0"
"5.942211197893016","1062.0","34.11764705882353","52.0","87.0"
"5.818856468207119","1070.0","34.90196078431372","52.0","87.0"
"6.306241504866409","1057.5","34.11764705882353","51.0","87.0"
"5.932951693073925","1069.25","34.509803921568626","51.0","88.0"
"5.957054309327037","1039.75","34.11764705882353","50.0","88.0"
"6.739659552936702","1014.5","36.470588235294116","47.0","88.0"
"7.415879574970485","954.75","38.03921568627451","42.0","88.0"
"8.76254427390791","895.25","40.0","35.0","88.0"
"11.54059534741353","904.5","41.568627450980394","27.0","88.0"
"13.723330241187385","878.25","38.431372549019606","20.0","88.0"
"14.468080620678025","739.0","37.254901960784316","14.0","88.0"
"27.9230567669807","675.5","37.254901960784316","7.0","89.0"
"64.92979423174229","646.5","36.470588235294116","3.0","89.0"
"395.60317928824423","589.5","69.80392156862744","1.0","89.0"
"280.9917355371901","1148.75","54.90196078431372","2.0","89.0"
"112.6169217687075","1272.75","63.529411764705884","6.0","89.0"
